level_name,num_triplets,complete_accuracy,partial_accuracy,roc_auc,mean_same_scene_similarity,mean_diff_scene_similarity_a_n,mean_diff_scene_similarity_p_n,mean_delta_ap_an,mean_delta_ap_pn,avg_same_diff_delta,t_statistic_ap_an,p_value_ap_an,cohens_d_ap_an,t_statistic_ap_pn,p_value_ap_pn,cohens_d_ap_pn,model,layer_depth
features,300,0.6766666666666666,0.7833333333333333,0.7421944444444444,0.9816677771011988,0.9705472123622895,0.9700281008084615,0.011120564738909404,0.011639676292737326,0.011380120515823364,11.72402683813646,2.258223244659964e-26,0.678017974192868,11.871410015183784,6.836972276497586e-27,0.686541363478018,ViT-B-16-SigLIP-512_webli,0
features,300,0.6133333333333333,0.7333333333333333,0.7235777777777777,0.9750171854098638,0.9637640404701233,0.9633908919493357,0.011253144939740499,0.011626293460528056,0.011439719200134278,10.497326725627987,3.751765811992896e-22,0.6070760758408867,11.400332271572019,3.0560629753295803e-25,0.6592982344639539,ViT-B-16-SigLIP-i18n-256_webli,0
features,300,0.64,0.7633333333333333,0.7254111111111111,0.9785018883148829,0.9683620635668436,0.9685869385798772,0.010139824748039246,0.009914949735005696,0.010027387241522471,10.225338363942031,3.0405916371304814e-21,0.5913465825788055,10.117235692908656,6.935437956476579e-21,0.5850948436903632,ViT-B-16-SigLIP2-256_webli,0
features,300,0.6633333333333333,0.7466666666666667,0.7541388888888889,0.9819358658790588,0.9717817636330922,0.9713706737756729,0.010154102245966594,0.010565192103385926,0.01035964717467626,10.542342399425594,2.647315489918008e-22,0.6096793990881844,11.211253041258415,1.381957809004529e-24,0.6483635000022966,ViT-B-16-SigLIP2-384_webli,0
features,300,0.6466666666666666,0.7633333333333333,0.7485333333333333,0.9845664797226588,0.9753180607159933,0.9752618066469828,0.009248419006665547,0.009304673075675965,0.009276546041170756,10.773876623420849,4.360038240815685e-23,0.6230693684509883,11.124699657921246,2.7482043902778634e-24,0.6433579881331536,ViT-B-16-SigLIP2-512_webli,0
features,300,0.6066666666666667,0.73,0.6958500000000001,0.9748612626393636,0.9644274701674779,0.964684934814771,0.01043379247188568,0.010176327824592591,0.010305060148239136,9.217504957657354,5.597794102305376e-18,0.5330620725251972,9.590898146208396,3.6161441373950814e-19,0.5546559578688386,ViT-B-16-SigLIP2_webli,0
features,300,0.57,0.7033333333333334,0.6948000000000001,0.9681450279553732,0.9568002671003342,0.9556350352366766,0.01134476085503896,0.012509992718696595,0.011927376786867777,9.624012647234986,2.8284971846860555e-19,0.5565710192022707,10.660781413181123,1.054455023070091e-22,0.6165289047286457,ViT-B-16-SigLIP_webli,0
features,300,0.5866666666666667,0.7233333333333334,0.6840499999999999,0.969393539428711,0.9601104074716568,0.959469208319982,0.009283131957054137,0.009924331108729045,0.009603731532891591,8.88672237224902,6.035896456172956e-17,0.5139324215657747,9.411182855456822,1.3613326480970194e-18,0.5442627542927306,ViT-B-16_commonpool_l_basic_s1b_b8k,0
features,300,0.5933333333333334,0.7,0.6858055555555556,0.9630477557579676,0.9517548704147338,0.9523777474959692,0.011292885343233744,0.010670008261998494,0.01098144680261612,9.303744097519619,2.9883473641317026e-18,0.5380494109153009,8.716533720989673,2.013167464919584e-16,0.5040901582020522,ViT-B-16_commonpool_l_clip_s1b_b8k,0
features,300,0.5633333333333334,0.6866666666666666,0.6714972222222222,0.9688789653778076,0.9602607061465581,0.960105696717898,0.008618259231249491,0.008773268659909567,0.008695763945579528,8.806501552232238,1.0666975394666902e-16,0.5092931315943269,8.81833920773302,9.809078722217051e-17,0.5099777209331064,ViT-B-16_commonpool_l_image_s1b_b8k,0
